Judul,Perusahaan,Lokasi,Jurusan
Pengadministrasian Perkantoran,Direktorat Pemetaan Pasar Kerja Luar Negeri,"KEMENTERIAN PELINDUNGAN PEKERJA MIGRAN INDONESIA / BP2MI, Jl. Letjen M.T. Haryono No.Kav 52, RT.3/RW.4, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Administrasi Negara, Administrasi Keuangan"
Pengadministrasian Perkantoran,Direktorat Pemetaan Pasar Kerja Luar Negeri,"KEMENTERIAN PELINDUNGAN PEKERJA MIGRAN INDONESIA / BP2MI, Jl. Letjen M.T. Haryono No.Kav 52, RT.3/RW.4, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Administrasi Negara, Administrasi Keuangan"
Asisten Tenaga Ahli Ekonomi,Kedeputian Bidang Pembangunan Kewilayahan,"Jalan Taman Suropati Nomor 2, Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Ilmu Ekonomi
Admin HR & GA,"PT Sentral Mitra Informatika, Tbk","Graha Mas Fatmawati Blok. A No.27 - 29, Jalan Rs. Fatmawati No. 71, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Hukum, Manajemen Sumber Daya Manusia"
Resepsionis,"PT Sentral Mitra Informatika, Tbk","Graha Mas Fatmawati Blok. A No.27 - 29, Jalan Rs. Fatmawati No. 71, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Administrasi
Staf Dokumen dan Arsip,"PT Sentral Mitra Informatika, Tbk","Graha Mas Fatmawati Blok. A No.27 - 29, Jalan Rs. Fatmawati No. 71, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Administrasi
Intern Office Administration & Document Control,Puriasri Bhaktikarya,"WIJAYA GRAHA PURI BLOK E9 -10, JL.DARMAWANGSA RAYA KEL.PULO KEC KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Perkantoran, Sekretari, Manajemen"
Intern HR Recruitment & Talent Acquisition,Puriasri Bhaktikarya,"WIJAYA GRAHA PURI BLOK E9 -10, JL.DARMAWANGSA RAYA KEL.PULO KEC KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Manajemen Sumber Daya Manusia, Ilmu Komunikasi"
Intern Web Developer & UI/UX Designer,Puriasri Bhaktikarya,"WIJAYA GRAHA PURI BLOK E9 -10, JL.DARMAWANGSA RAYA KEL.PULO KEC KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Sistem Informasi, Desain Komunikasi Visual -"
Intern IT Support & Infrastructure,Puriasri Bhaktikarya,"WIJAYA GRAHA PURI BLOK E9 -10, JL.DARMAWANGSA RAYA KEL.PULO KEC KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Komputer, Sistem Informasi"
Intern HR Data & People Analytics,Puriasri Bhaktikarya,"WIJAYA GRAHA PURI BLOK E9 -10, JL.DARMAWANGSA RAYA KEL.PULO KEC KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Statistika, Manajemen Sumber Daya Manusia, Sistem Informasi"
Intern Business Process Improvement,Puriasri Bhaktikarya,"WIJAYA GRAHA PURI BLOK E9 -10, JL.DARMAWANGSA RAYA KEL.PULO KEC KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Industri, Administrasi Bisnis, Manajemen"
Intern Finance & Accounting Assistant,Puriasri Bhaktikarya,"WIJAYA GRAHA PURI BLOK E9 -10, JL.DARMAWANGSA RAYA KEL.PULO KEC KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Ekonomi, Keuangan"
Intern Social Media & Content Creator,Puriasri Bhaktikarya,"WIJAYA GRAHA PURI BLOK E9 -10, JL.DARMAWANGSA RAYA KEL.PULO KEC KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Pemasaran Digital, Desain Komunikasi Visual"
Intern Project Administration & Reporting (PMO),Puriasri Bhaktikarya,"WIJAYA GRAHA PURI BLOK E9 -10, JL.DARMAWANGSA RAYA KEL.PULO KEC KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Teknik Industri, Administrasi Bisnis"
Internship - Fungsi Internal Audit,Perusahaan Gas Negara,"None, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",Akuntansi
Internship - Fungsi Performance and Investment Management - Investment and Decision,Perusahaan Gas Negara,"None, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Teknik Industri, Manajemen"
